 #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      		      v     			  g     		   r       		     i     		    z      			FUV      		NUV     		    J      		     H      			K        		W1      		   W2     		     W3     			W4
   79261.812639808530       -5.3600000000000002E-003   2.7905901667472222E-004   9.0830515999999992        5.2665999999999998E-003   10.818264206475686        10.630485662683743        11.183439791980096        10.023916166700477        10.206744006171892        10.700288729532229        11.087587429452132        11.580058289900624        11.916341450187531        8.5174417929245045        9.2066174226047472        11.665332217197598        11.802996879563981        11.917566081805031        12.012181448491940        12.061156925435395        12.134627785883882        12.185246283804414     
   78118.518788251327       -3.1255999999999999E-002   2.9252447199928613E-004   9.0837062000000000        5.2626000000000001E-003   10.832732478072060        10.645296922435584        11.197143613080875        10.039906575504375        10.222467282604981        10.714795474729101        11.101519909323230        11.593683636816749        11.929892468302661        8.5368183728825784        9.2242058244008227        11.678345916603782        11.816014724353828        11.930429596625565        12.024973252911479        12.073910256254436        12.147073983747955        12.197614007483821     
   76992.779804055521       -5.7084000000000003E-002   3.0696046636626305E-004   9.0843212999999992        5.2589000000000004E-003   10.846880075683885        10.659782241742665        11.210539165433246        10.055553605825132        10.237850732699421        10.728981504770406        11.115140609472434        11.607002587300173        11.943137014327128        8.5557992669264422        9.2414264288994552        11.691063828155656        11.828734833315679        11.942998962249536        12.037470674476488        12.086369245389967        12.159231223217706        12.209694645084635     
   75903.709346914708       -8.2466999999999999E-002   3.2225947013867542E-004   9.0849553000000007        5.2550000000000001E-003   10.860700089809168        10.673928977005094        11.223632065792533        10.070824647098707        10.252866188327559        10.742839290449695        11.128451323923152        11.620021816167753        11.956083236086698        8.5742946760174341        9.2582196328130237        11.703502621856959        11.841174291400684        11.955293613351120        12.049694854470065        12.098555653829539        12.171126146074140        12.221515896449361     
   74835.902414510725      -0.10767300000000000        3.3874494285419130E-004   9.0855487000000004        5.2513999999999998E-003   10.874157760584289        10.687706989859933        11.236377410208490        10.085705605379470        10.267496073128328        10.756334473318333        11.141410229725587        11.632695518383986        11.968684287715895        8.5923367958018915        9.2745931471991554        11.715608290500782        11.853278951657195        11.967257362808191        12.061588326940097        12.110411614206054        12.182696902864450        12.233015011039946     
   73800.788173236448      -0.13248099999999999        3.5641718328599834E-004   9.0861614999999993        5.2477000000000001E-003   10.887291140888722        10.701150904436753        11.248820699965913        10.100219123619441        10.281765627898162        10.769504794244648        11.154060542331267        11.645069786139162        11.980987125427314        8.6099138137438072        9.2905533741769109        11.727432919754955        11.865101172869855        11.978943991216353        12.073205976504505        12.121992323148577        12.194001566956475        12.244250653129720     
   72785.186642617366      -0.15712899999999999        3.7549205738818617E-004   9.0867349999999991        5.2443000000000004E-003   10.900081643594710        10.714246087601929        11.260934644979166        10.114364271693930        10.295670998287832        10.782331954329333        11.166377607650638        11.657116534378048        11.992962852908803        8.6270645210314569        9.3061180703942661        11.738941327832862        11.876605756964736        11.990316475762498        12.084509734293256        12.133259423558638        12.204998350286040        12.255180239684925     
   71801.910488104142      -0.18134900000000001        3.9607775789664854E-004   9.0873276000000001        5.2407000000000000E-003   10.912593404922349        10.727052831775920        11.272791799656686        10.128187978680478        10.309261992985435        10.794879772715012        11.178431417559066        11.668909048098163        12.004685622912833        8.6437972586235023        9.3213159935971337        11.750213619576348        11.887872945949551        12.001456753232498        12.095582638447171        12.144296270654506        12.215773901193598        12.265891149635076     
   70837.136976630427      -0.20540100000000000        4.1849814890724700E-004   9.0878814999999999        5.2373999999999997E-003   10.924773503188492        10.739522362095505        11.284330071530851        10.141655797577590        10.322501126514195        10.807095601647211        11.190162644135521        11.680384357687229        12.016091686769796        8.6601192361889812        9.3361322798103057        11.761179310790636        11.898832353716825        12.012292452029582        12.106351307112154        12.155029208653437        12.226250922205141        12.276305208361519     
   69904.317515790448      -0.22900499999999999        4.4275385843982920E-004   9.0884550999999991        5.2338999999999997E-003   10.936878501286639        10.751916774280321        11.295811523547691        10.155047344316731        10.335658636364531        10.819232321686641        11.201836842851471        11.691798569857788        12.027428998402428        8.6763337255013724        9.3508561841398858        11.772101751650229        11.909744545808746        12.023085412518839        12.117075844270417        12.165706272815061        12.236667999821378        12.286648863324537     
