 #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      		      v     			  g     		   r       		     i     		    z      			FUV      		NUV     		    J      		     H      			K        		W1      		   W2     		     W3     			W4
   23418.064616640197      -0.62360800000000005        6.9583293838149985E-004   7.0006551000000004        2.9609400000000001E-002   8.7337822796831404        8.6136945769999400        8.9679587805460663        8.4250435432105775        8.4880869520172197        8.6089446255463855        8.9268658370628629        9.3533742247627032        9.6480491036292690        7.4919282214121665        7.9310704380947286        9.3139648816214020        9.4060674039324255        9.4869120604552748        9.5509975721454303        9.5888363217787109        9.6499266448619139        9.6963473298785523     
   23279.572458165905      -0.63581900000000002        7.2710537325838234E-004   7.0025611000000003        2.9544500000000001E-002   8.7493677608263383        8.6299801429355085        8.9821458606600899        8.4461188798038833        8.5075807095976934        8.6248012355620958        8.9417377539692602        9.3674151887182546        9.6615437229509169        7.5212215995139289        7.9564009116007384        9.3264490677227130        9.4179059727968166        9.4984941986694231        9.5618760884560707        9.5994454777724023        9.6598433400632331        9.7061331569213962     
   23145.682957792549      -0.64768000000000003        7.5316581434344704E-004   7.0044015000000002        2.9482000000000001E-002   8.7644294547305215        8.6457186459415567        8.9958536372025968        8.4664840242071264        8.5264207559123300        8.6401230477090891        8.9561076164136360        9.3809817141603880        9.6745820519915604        7.5495317747395738        7.9808798225155577        9.3384965449551949        9.4293452885909197        9.5096795611889675        9.5723852401896217        9.6096942121052074        9.6694226268941676        9.7155859158519604     
   23016.484980476413      -0.65918100000000002        7.8443843806780928E-004   7.0061799999999996        2.9421699999999999E-002   8.7789738400891153        8.6609161351867314        9.0090896574025940        8.4861422158874902        8.5446111406357730        8.6549165576368736        8.9699825125002093        9.3940814223830671        9.6871720823049756        7.5768564770589037        8.0045075814927209        9.3501172897293330        9.4403942145619766        9.5204778470490794        9.5825347369340292        9.6195924268949824        9.6786748517973606        9.7247160567778366     
   22891.644877785191      -0.67034700000000003        8.1571116479972258E-004   7.0078984999999996        2.9363500000000001E-002   8.7933167991834011        8.6759951005449594        9.0220617048390395        8.5056431329446909        8.5626938288498451        8.6692852051833995        8.9835718864501146        9.4069217557168230        9.6994149974774828        7.6042021561381716        8.0280608819777797        9.3603826127454113        9.4513561935118702        9.5310977395169587        9.5925243699058811        9.6293358302897225        9.6876891229281625        9.7335040066837344     
   22770.627561851019      -0.68119099999999999        8.4698399454100580E-004   7.0095342000000000        2.9308299999999999E-002   8.8071806286681991        8.6905862525662947        9.0345812582485614        8.5245385659396575        8.5802143490126674        8.6831424918681996        8.9966899836393033        9.4193137490104100        9.7112137711504651        7.6307695079119888        8.0509171723985737        9.3701262098791247        9.4619406885073758        9.5413375923237318        9.6021525933329848        9.6387232377258876        9.6963557506277915        9.7419351425514940     
   22654.161904688051      -0.69173300000000004        8.8346909276515364E-004   7.0111704000000001        2.9253100000000001E-002   8.8206839280180525        8.7047881855904841        9.0467903457696224        8.5428809042217182        8.5972377972774119        8.6966392464180551        9.0094748546461787        9.4313998260743084        9.7227307697971881        7.6564938157211202        8.0730701533670093        9.3796778243718393        9.4722861652451940        9.5513534667586946        9.6115795946821336        9.6479171474920733        9.7048575715196392        9.7502105769290139     
   22540.886904274554      -0.70198199999999999        9.1474214569279861E-004   7.0127075000000003        2.9201399999999999E-002   8.8336773060069760        8.7184594778626732        9.0585254019540002        8.5605809093087899        8.6136540188787407        8.7096264760069779        9.0217701374326253        9.4430154588582695        9.7337940600983011        7.6813775241538735        8.0944774914677282        9.3888433579388675        9.4822070857037346        9.5609547431352127        9.6206083476565851        9.6567176147464835        9.7129862728907810        9.7581188766993314     
   22431.535332318319      -0.71195200000000003        9.5122750430164159E-004   7.0142319999999998        2.9150200000000001E-002   8.8463229343813801        8.7317582888308714        9.0699559670368792        8.5777675928674100        8.6296045864118334        8.7222660063813819        9.0337413623752916        9.4543305743691981        9.7445775405873931        7.7054985571556394        8.1152422869009051        9.3978063992462211        9.4918850987973720        9.5703259223509285        9.6294266710125207        9.6653143081205570        9.7209358816710676        9.7658558803357032     
   22325.130180965109      -0.72165199999999996        9.8771300311818787E-004   7.0156732999999996        2.9101800000000001E-002   8.8585285926233723        8.7445981949890452        9.0809796382139893        8.5943919628742975        8.6450254599944216        8.7344658994233733        9.0452912941091625        9.4652420751949542        9.7549727290483190        7.7288736226410748        8.1353492009024535        9.4064418774615746        9.5012021045608925        9.5793451912523295        9.6379081489571519        9.6735787927705452        9.7285718836048716        9.7732848371668055     
   22222.350848853021      -0.73109900000000005        1.0241986421442562E-003   7.0171023999999997        2.9054000000000000E-002   8.8704021771170680        8.7570832829565823        9.0917112172544527        8.6105313755978727        8.6600052900514832        8.7463337675170720        9.0565310534101897        9.4758651585033071        9.7650985210149415        7.7515332047386494        8.1548517495857205        9.4148784062517770        9.5102840417687311        9.5881411121826616        9.6461844568269264        9.6816443694572634        9.7360316732177488        9.7805447845154561     
   22122.336803735932      -0.74028799999999995        1.0606844213780278E-003   7.0184540000000002        2.9008800000000001E-002   8.8818638830795322        8.7691388926706182        9.1020619559206253        8.6261442397361279        8.6744890429674548        8.7577900670795330        9.0673764559019432        9.4861104767243631        9.7748607623295385        7.7734936778835220        8.1737380452128399        9.4230068462715053        9.5190283751939049        9.5966078031916098        9.6541456712102871        9.6893993752312646        9.7431981816401745        9.7875166712476478     
   22025.460639780897      -0.74923899999999999        1.0971703408231405E-003   7.0197804000000001        2.8964600000000000E-002   8.8930022267688393        8.7808514774167108        9.1121240506064325        8.6413019215845992        8.6885548939754145        8.7689231051688417        9.0779176258075225        9.4960703896462064        9.7843539215585587        7.7948000885520656        8.1920661124718279        9.4309268652558238        9.5275334353294809        9.6048451675622672        9.6618933491611685        9.6969462849272894        9.7501761558794158        9.7943061987589815     
   21931.735520865222      -0.75794899999999998        1.1388687061607925E-003   7.0210828000000003        2.8921200000000001E-002   8.9040216759495294        8.7923687551706458        9.1220963474536063        8.6564189279105932        8.7025492209072866        8.7800056092286667        9.0883590954747220        9.5058812441207792        9.7937768486042387        7.8161275124663163        8.2103865286803099        9.4393253738665841        9.5358733436546217        9.6129840514709102        9.6695641547006801        9.7043593612632755        9.7571023700675994        9.8009819078301952     
   21840.370426281755      -0.76642800000000000        1.1805672546288406E-003   7.0223111999999999        2.8880300000000001E-002   8.9147322166775389        8.8035446106555071        9.1317835556572575        8.6712015890948564        8.7162115883459030        8.7908026014512544        9.0985067048352306        9.5153892978191976        9.8029292691243270        7.8370604611983197        8.2283424001749950        9.4476568464514834        9.5439244694397090        9.6208586985828930        9.6769855520236803        9.7115066633025293        9.7637977602339348        9.8074081163127786     
   21751.990254329070      -0.77468199999999998        1.2222659862327419E-003   7.0235200000000004        2.8840100000000000E-002   8.9251446874736224        8.8144080689588478        9.1412050875143720        8.6855524860288114        8.7294806520919650        8.8012986172192953        9.1083743889996001        9.5246383207798999        9.8118344417972168        7.8573589359775653        8.2457624271272962        9.4557671813293069        9.5517642448491671        9.6285271326009507        9.6842163366294685        9.7184723073924566        9.7703263386640984        9.8136763894270871     
   21665.963142396020      -0.78275700000000004        1.2691772781890905E-003   7.0247102000000003        2.8800599999999999E-002   8.9353117593044864        8.8250149600627417        9.1504066558006087        8.6995526914966668        8.7424293184180506        8.8115469553620933        9.1180110157588636        9.5336727577556353        9.8205342919252203        7.8771469325435000        8.2627497775128056        9.4636926253365488        9.5594270088339748        9.6360224410485280        9.6912864324307435        9.7252843218579308        9.7767129783699112        9.8198097085971021     
   21582.462749088430      -0.79060299999999994        1.3160888019247067E-003   7.0258498999999999        2.8762900000000001E-002   8.9451358931683558        8.8352667526076409        9.1592930110235997        8.7130978726593753        8.7549538567822545        8.8214500308192676        9.1273204708628874        9.5423977101065027        9.8289343603028563        7.8963098369366342        8.2791946784412822        9.4713401510599233        9.5668205136919191        9.6432524648053679        9.6981045521355362        9.7318519403828034        9.7828676537282462        9.8257184415755141     
   21501.462448732702      -0.79823699999999997        1.3630005574432288E-003   7.0269520999999999        2.8726399999999999E-002   8.9546640522375291        8.8452104865296057        9.1679107758378500        8.7262357748445574        8.7671022340138265        8.8310547813887972        9.1363494017299267        9.5508596388710565        9.8370811054659875        7.9148966893949932        8.2951455471389117        9.4787561377688370        9.5739908464507799        9.6502634500124991        9.7047167003919057        9.7382210877381041        9.7888362083817704        9.8314484041279648     
   21422.985803600273      -0.80566099999999996        1.4099125447446569E-003   7.0280221999999997        2.8691000000000001E-002   8.9639014583347532        8.8548512061456108        9.1762654477455001        8.7389703867727420        8.7788789446484046        8.8403663837311548        9.1451031067563591        9.5590640073815578        9.8449801281959601        7.9329096984990670        8.3106054396467357        9.4859465011995070        9.5809438690391637        9.6570614302175066        9.7111289472643634        9.7443979046751679        9.7946249224931670        9.8370059687039699     
   21346.515841346180      -0.81292200000000003        1.4620372469235008E-003   7.0290714000000003        2.8656399999999999E-002   8.9729137286927312        8.8642571402834776        9.1844168409500568        8.7513902310321541        8.7903663549671300        8.8494509272513824        9.1536439669408054        9.5670695778302282        9.8526882123956128        7.9504720214231313        8.3256807485850359        9.4929634353702497        9.5877301168917697        9.6636960145769812        9.7173882989811915        9.7504278465052323        9.8002767113119589        9.8424325444360008     
   21272.082075781622      -0.81999699999999998        1.5141622352584819E-003   7.0300814999999997        2.8623099999999999E-002   8.9816603921948861        8.8733875692681288        9.1923250555763367        8.7634540907847160        8.8015226572220264        8.8582679841191059        9.1619319066495741        9.5748364811800464        9.8601654614831737        7.9675413361794121        8.3403295881323594        9.4997672647130607        9.5943101203925529        9.6701276750919654        9.7234553469230214        9.7562715931503696        9.8057523295292803        9.8476889017566229     
   21200.104418600822      -0.82687500000000003        1.5662875097477809E-003   7.0310705999999996        2.8590500000000001E-002   8.9901514004153960        8.8822502912649952        9.2000045712774003        8.7751524423783600        8.8123446015627742        8.8668270135967937        9.1699791797270009        9.5823799106572061        9.8674288931316099        7.9840788225708970        8.3545273757273293        9.5063789847564095        9.6007058637548184        9.6763795068494147        9.7293551594850243        9.7619554727408264        9.8110802772338346        9.8528048728896351     
   21130.024470241329      -0.83358399999999999        1.6236256421998405E-003   7.0320289000000002        2.8559000000000001E-002   8.9984029770865028        8.8908643121722797        9.2074655576221822        8.7865269511256443        8.8228661138757616        8.8751448370162613        9.1777987771079559        9.5897089483996432        9.8744852774806056        8.0001645581122567        8.3683355166671980        9.5128002714758004        9.6069174555235044        9.6824503938270041        9.7350838580151908        9.7674739314259149        9.8162521693771225        9.8577703583878460     
   21061.728009376755      -0.84014800000000001        1.6809641209038092E-003   7.0329654000000001        2.8528200000000000E-002   9.0064547899233283        8.8992698719223640        9.2147463527805549        8.7976221367013778        8.8331306620691947        8.8832612003139531        9.1854295731795901        9.5968616692452287        9.8813723044827348        8.0158504324178352        8.3818023483731885        9.5190678577212040        9.6129811789952555        9.6883764977680897        9.7406769982608914        9.7728621822890211        9.8213026839359046        9.8626197295640381     
   20995.682660669190      -0.84651399999999999        1.7383029458615056E-003   7.0338766000000001        2.8498300000000001E-002   9.0142470492180671        8.9074127769933824        9.2217893069732106        8.8083659129666181        8.8430762731217563        8.8911164451845082        9.1928146259820842        9.6037844046067669        9.8880381480494428        8.0310803209466393        8.3948518548340765        9.5251459953321280        9.6188390516137012        9.6940933800834905        9.7460873076628296        9.7780792580112781        9.8261888603752929        9.8673065123908579     
   20931.242053257654      -0.85274000000000005        1.8008547861772968E-003   7.0347619999999997        2.8469299999999999E-002   9.0217652357109870        8.9153855893381859        9.2285325570050603        8.8188844752078808        8.8528765645019512        8.8987045063127113        9.1999355440305379        9.6104542384033387        9.8944573026163702        8.0466382163455492        8.4077924765291101        9.5311551209709791        9.6243060067251918        9.6993186315932007        9.7512211916815232        9.7830932364430154        9.8308197367625638        9.8716741923206150     
   20868.536822948368      -0.85881399999999997        1.8686197448678286E-003   7.0356258000000000        2.8441000000000001E-002   9.0290888682538828        8.9231516136932427        9.2351025344526754        8.8291276119753093        8.8624213293741008        8.9060965621543460        9.2068725795915718        9.6169523373522132        9.9007114910440031        8.0617844306389763        8.4203919627798562        9.5370090134114598        9.6296345080350534        9.7044123956502588        9.7562247307029715        9.7879805382722829        9.8353342624099689        9.8759321789783527     
   20807.983748775026      -0.86470700000000000        1.9311724436811347E-003   7.0364693000000003        2.8413399999999998E-002   9.0361834449901508        8.9306734359487265        9.2414696291685345        8.8390411911977225        8.8716614105761060        8.9132575948344552        9.2135937158828014        9.6232496021242255        9.9067732915193254        8.0764319378514102        8.4325804119511893        9.5426830388327275        9.6348031921371202        9.7093548923253010        9.7610788436948255        9.7927228219854570        9.8397166016781092        9.8800664030801286     
   20748.514087403350      -0.87050099999999997        2.0041511131221341E-003   7.0372918999999996        2.8386499999999999E-002   9.0431369808605879        8.9380465498487638        9.2477091606594435        8.8487634779526303        8.8807223393514860        8.9202768127231984        9.2201805625850071        9.6294201611968298        9.9127125527464415        8.0908033402977502        8.4445365910812882        9.5482402642208157        9.6398661235575247        9.7141960286571560        9.7658320020945126        9.7973665438193329        9.8440067959437521        9.8841125063433495     
   20691.167669533803      -0.87611200000000000        2.0771303434576113E-003   7.0380927000000000        2.8360300000000001E-002   9.0498636203834906        8.9451778174967522        9.2537475770471573        8.8581597735154034        8.8894816629790654        8.9270671389432152        9.2265535140006918        9.6353916876874308        9.9184610999655654        8.1046820209929749        8.4560864910438589        9.5536193056949905        9.6447703582670883        9.7188868275744866        9.7704368241562420        9.8018662165245658        9.8481655933417684        9.8880355777906459     
   20634.977515823222      -0.88161699999999998        2.1501101346912037E-003   7.0388767999999997        2.8334700000000001E-002   9.0564505986523223        8.9521612632415604        9.2596605708666537        8.8673625978086292        8.8980606852229620        8.9337168775609506        9.2327939421472607        9.6412387847580234        9.9240897092213167        8.1182765240341439        8.4673991525828960        9.5588847906429031        9.6495723920075669        9.7234800800953103        9.7749447667377787        9.8062714853938786        9.8522368576888191        9.8918755113276582     
   20580.598488846936      -0.88696699999999995        2.2283033905878256E-003   7.0396429999999999        2.8309700000000000E-002   9.0628438336590982        8.9589382162371685        9.2654018048616891        8.8762871286832947        8.9063822518858835        8.9401711685066765        9.2388517085921826        9.6469158980141110        9.9295554359694975        8.1314504787279596        8.4783650207706849        9.5639980828932991        9.6542388519750553        9.7279448952668695        9.7793259777464350        9.8105536800605542        9.8561958429936389        9.8956103036125995     
