 #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      		      v     			  g     		   r       		     i     		    z      			FUV      		NUV     		    J      		     H      			K        		W1      		   W2     		     W3     			W4
   19052.413563187391       -1.0550109999999999        9.2220740166158071E-004   7.0002521000000000        2.7222699999999999E-002   9.2816660973707776        9.1874582485026792        9.4645034945664257        9.1729323134696834        9.1805766136432823        9.1606660973707754        9.4480823806762793        9.8455006807817753        10.120713360234525        8.5515166763772932        8.8366192693047871        9.7423480646239398        9.8245517658301758        9.8929748965203252        9.9387626398982754        9.9669733025510219        10.003394416441171        10.036394627856520     
   18903.229193501313       -1.0701660000000000        9.5907258394981910E-004   7.0017519999999998        2.7175700000000001E-002   9.2992319369148717        9.2060201193668618        9.4800636792368884        9.1989794086255436        9.2041518251748222        9.1782319369148730        9.4644367464628836        9.8606582846901425        10.135292225464145        8.5892483112779416        8.8684195270179949        9.7555442835404307        9.8371282631069157        9.9051481570691706        9.9499767341081800        9.9779810294289284        10.013992332749684        10.046220878976939     
   18756.897277630575       -1.0851360000000001        9.9067142438252634E-004   7.0032246000000002        2.7129700000000000E-002   9.3164374481113654        9.2244080666903230        9.4955073170429358        9.2249078817089156        9.2272518458061441        9.1954374481113703        9.4804539311324127        9.8755087534980746        10.149575037808596        8.6262410944982264        8.8995943760034493        9.7685954352388578        9.8496452625955477        9.9176592285616962        9.9607534708717296        9.9887538267271125        10.024767080982496        10.055834801748158     
   18612.126687868127       -1.1000399999999999        1.0275368697675732E-003   7.0046676000000003        2.7084600000000000E-002   9.3333595041001161        9.2424895347976239        9.5106760573549884        9.2499123759795019        9.2505566226339191        9.2129007007490991        9.4967417030520416        9.8906387165549852        10.164132937906910        8.6638295564475563        8.9314163497627383        9.7847211098529456        9.8613773944633714        9.9293857682638240        9.9718529454152964        9.9993117487663135        10.034778925917788        10.065246103069260     
   18470.174562607062       -1.1147579999999999        1.0644024568227906E-003   7.0060858000000001        2.7040399999999999E-002   9.3500506483471675        9.2603135950463091        9.5256411525121010        9.2746181816043922        9.2735304658061040        9.2300292093335159        9.5127146720480233        9.9054760685488787        10.178289055636082        8.7009507016949712        8.9626437008864599        9.8002032995814865        9.8729554935873729        9.9408390960241455        9.9828576308514485        10.009762672301878        10.044664809565955        10.074572755202734     
   18329.642728029612       -1.1294200000000001        1.1065347297862899E-003   7.0074785000000004        2.6997100000000000E-002   9.3668916750312512        9.2782844472070174        9.5407671754978729        9.2998235010797394        9.2965764087282139        9.2468821453009831        9.5284091608554888        9.9200463026797259        10.191763656773698        8.7384559730131350        8.9934487782282915        9.8137255378526369        9.8847492835100503        9.9520882386919034        9.9940773841524368        10.020425869064557        10.054753969706940        10.084122838888792     
   18191.646155805018       -1.1439170000000001        1.1434006204199250E-003   7.0088451000000003        2.6954700000000002E-002   9.3833669218816524        9.2958691330352146        9.5555605345513150        9.3247477639101319        9.3191550317556313        9.2635920789290367        9.5437668278574925        9.9342917387745366        10.205389621645136        8.7752249220225096        9.0241030506547126        9.8244295467115670        9.8967082392560037        9.9630681485138517        10.004799352737074        10.030834733137073        10.064601317760296        10.093438663183516     
   18055.228954779359       -1.1583319999999999        1.1855332403301873E-003   7.0101871999999998        2.6913099999999999E-002   9.3995561105063530        9.3131550276681203        9.5700966115637058        9.3496139694004761        9.3414022760415349        9.2803034479417690        9.5588666936900637        9.9482767785828230        10.219367278237357        8.8114857515990117        9.0549394025901861        9.8315249045951134        9.9090072810037668        9.9738060174975303        10.014986184516648        10.041026933316648        10.074247849135766        10.102550262554885     
   17920.907574361201       -1.1726230000000000        1.2276660452826035E-003   7.0115062999999997        2.6872199999999999E-002   9.4157357766122587        9.3304145412173725        9.5843467831808766        9.3740210701505902        9.3638543894429205        9.2967043123910926        9.5739649616071496        9.9622861970020402        10.233061877699484        8.8477598318881903        9.0855267944024192        9.8439414651815866        9.9204485649655432        9.9849053525315981        10.025255709884153        10.051287174105319        10.083683556657874        10.111746485100209     
   17788.445600974686       -1.1868050000000001        1.2750656720345432E-003   7.0128012000000002        2.6832200000000000E-002   9.4318345608041625        9.3475782007963666        9.5983394064225251        9.3980157767456838        9.3863476055573791        9.3128266864069289        9.5889885112119622        9.9762448712197589        10.246501063223658        8.8839076542587776        9.1158198286961323        9.8598463511820462        9.9312621008459168        9.9961831464337223        10.035526167247049        10.061534041644286        10.092928267257612        10.120944016052086     
   17657.694552227829       -1.2008950000000000        1.3171988701978989E-003   7.0140723999999999        2.6793000000000001E-002   9.4479685948236991        9.3647633280058784        9.6123583451124119        9.4222924641341876        9.4084240617256754        9.3289685948236993        9.6040404990945945        9.9902457659124124        10.259640684877169        8.9201653797292266        9.1459806599830955        9.8728961808541982        9.9425122361569720        10.006871648868657        10.045537933330635        10.071189494886479        10.102260507392614        10.129912068948457     
   17529.196118915570       -1.2148340000000000        1.3645989393153287E-003   7.0153239999999997        2.6754400000000001E-002   9.4639431497188085        9.3817708767674830        9.6262335580426743        9.4464075005294319        9.4300875924865224        9.3449431497188051        9.6189386930913514        10.004110966042674        10.272521264572781        8.9560472015891968        9.1757479368759256        9.8846537167877671        9.9538174804209874        10.017220620529869        10.055344563426754        10.080515485481193        10.111529802323638        10.138700724378079     
   17401.953346247123       -1.2287200000000000        1.4172659574524004E-003   7.0165534999999997        2.6716500000000001E-002   9.4799570233150199        9.3984413921745578        9.6402156030995023        9.4705036551552020        9.4521527289396836        9.3609570233150201        9.6339077940849940        10.017690988484489        10.285497443869478        8.9921618116709539        9.2057866422908141        9.8929444271791276        9.9648624834094299        10.027617002305366        10.065250783934882        10.090291029690352        10.120924811319870        10.147598838704859     
   17276.787835234216       -1.2424660000000001        1.4699332647214760E-003   7.0177588999999996        2.6679499999999998E-002   9.4957520900109813        9.4147793983102517        9.6540310126149365        9.4942562769559942        9.4740269471599490        9.3767520900109815        9.6486822502928575        10.030996092755874        10.298316350896812        9.0278398291333062        9.2354808232245453        9.9001577602303144        9.9756739206605616        10.037867330721085        10.075037906102228        10.100045517662021        10.130216093043163        10.156394279984099     
   17153.470500887401       -1.2560950000000000        1.5226008611243741E-003   7.0189465999999996        2.6643000000000000E-002   9.5111515271181197        9.4311045984039481        9.6674554823323184        9.5175250271542531        9.4957773522719755        9.3925376451145723        9.6631054080181471        10.044303909532317        10.311145150735868        9.0625255667655367        9.2646279383116585        9.9137635239065318        9.9861680368465429        10.048185298260691        10.084547373653642        10.109161255657192        10.139237042057189        10.164926710460740     
   17031.543182306141       -1.2696570000000000        1.5752687466610950E-003   7.0201140000000004        2.6607200000000001E-002   9.5263103802756639        9.4472892514641167        9.6806541591925672        9.5404769052549732        9.5173137827957461        9.4081842075464444        9.6773112063810132        10.057493247192564        10.323860787921792        9.0966797651297036        9.2933996405042727        9.9289138951367768        9.9964815002148093        10.058421346921016        10.093894757673258        10.118020930402484        10.148101386402484        10.173308015131706     
   16911.533880261195       -1.2830889999999999        1.6384705909658806E-003   7.0212610000000000        2.6572100000000001E-002   9.5414705545143370        9.4637270918497052        9.6938549145477708        9.5636057166058279        9.5387210506900075        9.4234705545143385        9.6914775995056779        10.070684826547769        10.336556000018064        9.1315168445797070        9.3222567823532927        9.9383907669810796        10.007140542102242        10.068468145347328        10.103279130716125        10.127279130716126        10.156686539808966        10.181741489758217     
   16793.066199260345       -1.2964300000000000        1.6964059806723526E-003   7.0223915999999997        2.6537600000000001E-002   9.5565181607411027        9.4801217910254145        9.7069539498669855        9.5866198579291186        9.5599211123172800        9.4385181607411006        9.7055198538729037        10.083774817066985        10.349141643801747        9.1663280076030809        9.3509257155646210        9.9458884774381957        10.017830702989908        10.078382215233123        10.112600767443318        10.136600767443319        10.165109000699683        10.190124429837400     
   16675.965962044724       -1.3096960000000000        1.7596086230023502E-003   7.0235016000000003        2.6503700000000002E-002   9.5713565627407924        9.4960706801379757        9.7201861350853278        9.6096251043800294        9.5811605136662870        9.4536248601990707        9.7193882648371499        10.096701986133507        10.361325565323405        9.2009944377755559        9.3798168295537039        9.9554050595614854        10.028113182022580        10.087830767612481        10.121775090225395        10.145506792767115        10.173666966873576        10.198398669415297     
