designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 2996987222340729088;2958;0,68044853;13,82701536;0,538572697;0,525087476
Gaia EDR3 2997076768116088576;2959;1,05E-02;12,71635005;0,966594583;0,730858982
Gaia EDR3 2997168096299365888;2960;0,9267731;14,49019198;0,530356487;0,77862823
Gaia EDR3 2997372291928963584;2961;1,1856003;15,0304308;0,504172084;0,938080013
Gaia EDR3 2999222946092525312;2962;0,50164604;13,56888951;0,639418511;0,571114242
Gaia EDR3 2999408351246903040;2963;-1,30E-02;12,3037443;0,83623156;0,763456106
Gaia EDR3 3001062974507933952;2964;1,1022167;14,65001972;0,457449492;0,938967466
Gaia EDR3 3001062974507934080;2965;1,1756115;14,93935494;0,484967065;0,963294864
Gaia EDR3 3002650497500938240;2966;0,34679604;13,19998977;0,689097857;0,615963876
Gaia EDR3 3003388377177759616;2967;1,2576618;15,18445764;0,491102826;0,95328021
Gaia EDR3 3003885803111366528;2968;-0,16717148;11,31194748;0,62412271;0,90118885
Gaia EDR3 30048866808843648;2969;0,13840103;12,74659619;0,805207478;0,768598437
Gaia EDR3 3005020121151523328;2970;0,42959976;12,99916092;0,518402394;0,63574934
Gaia EDR3 3005654844302981504;2971;0,8815861;14,57565956;0,607445943;0,692052722
Gaia EDR3 3007401903855990912;2972;0,46258163;13,24830894;0,562498025;0,544362962
Gaia EDR3 300940112094402176;2973;-0,14764786;11,27011679;0,577574713;0,951898575
Gaia EDR3 3010456995696083072;2974;1,1550064;15,07075024;0,543296813;0,953098536
Gaia EDR3 3010748297557497344;2975;0,9772587;14,62658017;0,541209822;0,929250777
Gaia EDR3 301101602864613888;2976;0,16936493;12,32308156;0,590278119;0,843133271
Gaia EDR3 3012743155247323776;2977;0,4318924;13,20945015;0,582799115;0,698515236
Gaia EDR3 3012762877737056512;2978;1,0558968;14,6265157;0,484767511;0,900456429
Gaia EDR3 3013805803173029376;2979;-0,16223335;11,69001571;0,768756735;0,949530661
Gaia EDR3 3014049448078210304;2980;-0,44185352;11,11755249;1,046333723;0,903799653
Gaia EDR3 3014201730438452864;2981;0,8222389;14,23568497;0,538130752;0,553423584
Gaia EDR3 3014817044633022976;2982;0,2513199;12,71422841;0,628783185;0,721387327
Gaia EDR3 3014919123118533888;2983;1,1444969;15,01392682;0,532337453;0,967376292
Gaia EDR3 3015008531455357824;2984;-7,81E-03;11,50616126;0,51693557;0,959349155
Gaia EDR3 3015115424601250304;2985;7,46E-02;12,50838158;0,801196931;0,90124923
Gaia EDR3 301521311363899904;2986;0,15139389;12,31747931;0,61416534;0,788894534
Gaia EDR3 3015780624838756992;2987;0,87526894;14,57527505;0,614105319;0,578477919
Gaia EDR3 3016031622727659392;2988;-0,1093235;11,97752387;0,81593968;0,933294654
Gaia EDR3 3016329285438157312;2989;0,156456;11,66946208;0,426837374;0,871895313
Gaia EDR3 3017600492677101952;2990;0,65021133;14,02404487;0,646150912;0,526763439
Gaia EDR3 3018584242050693888;2991;1,1449451;14,7040874;0,435229986;0,928793967
Gaia EDR3 3018598879299393920;2992;0,52231026;13,91759679;0,754509827;0,560857654
Gaia EDR3 3019579849830214656;2993;1,141182;14,35310256;0,336748898;0,871993899
Gaia EDR3 3020585937329704064;2994;0,46533966;13,13903715;0,524757112;0,52766633
Gaia EDR3 3020668542435696512;2995;-0,29205894;10,54133353;0,554010995;0,919296265
Gaia EDR3 302143768088623488;2996;-4,54E-04;11,92883607;0,662783719;0,886124372
Gaia EDR3 3021939264344084736;2997;1,1149616;14,58609513;0,432520629;0,953225136
Gaia EDR3 3022956969731332096;2998;1,1336575;15,19165346;0,613897711;0,98760891
Gaia EDR3 302303987548932736;2999;1,1047211;14,8321711;0,508826309;0,960286677
Gaia EDR3 302388929117252736;3000;1,0518875;14,90811886;0,582657566;0,923430443
Gaia EDR3 3024710549043578624;3001;0,7480526;14,14710304;0,580987048;0,510325253
Gaia EDR3 3025399805393875968;3002;1,3897953;15,21802644;0,353808978;0,97772944
Gaia EDR3 3026097243660272768;3003;0,60005;13,76244757;0,599868695;0,55177027
Gaia EDR3 3026210832658618496;3004;0,6079006;14,11451608;0,732432329;0,541334629
Gaia EDR3 3026376377878137088;3005;1,0001717;14,79527283;0,587378079;0,912517726
Gaia EDR3 3026909091262710144;3006;1,2718163;14,7795397;0,352628637;0,952015042
Gaia EDR3 3027798978427992832;3007;0,3884678;13,11204329;0,599237718;0,630789697
Gaia EDR3 3027937890548036736;3008;1,0783367;14,57518877;0,453092821;0,972594976
Gaia EDR3 3030301501255870720;3009;0,57161903;13,486951;0,531512828;0,561042547
Gaia EDR3 3030820432081929088;3010;1,4685497;14,44548173;0;0,973746419
Gaia EDR3 3030893377804110080;3011;1,138731;14,92139956;0,508610879;0,992808223
Gaia EDR3 3032020450247993600;3012;1,1162548;14,95751221;0,538899281;0,942697644
Gaia EDR3 3032924489314508032;3013;0,34488487;13,33068455;0,74345846;0,702769041
Gaia EDR3 3033570727283474304;3014;-0,32787514;10,62578312;0,642624715;0,924004495
Gaia EDR3 3034887319431539456;3015;1,0408573;14,61525958;0,492630002;0,894527316
Gaia EDR3 3035293417179571840;3016;1,1987915;14,98211302;0,478937003;0,964625597
Gaia EDR3 3036818783407270528;3017;1,2528496;14,14008604;0;0,970189989
Gaia EDR3 3037368539222530944;3018;1,1409225;14,70831684;0,435229986;0,97608906
Gaia EDR3 3043097166603082240;3019;0,47854805;13,85636796;0,782893693;0,648834705
Gaia EDR3 3044036909740407168;3020;0,441288;12,41566708;0,357536773;0,718461037
Gaia EDR3 3044597415857442944;3021;0,27564812;12,93209912;0,663184618;0,478295058
Gaia EDR3 3044921810439529856;3022;0,675787;14,02662385;0,617173117;0,543427169
Gaia EDR3 3048077786767207296;3023;0,77469635;13,90744736;0,483735743;0,540612698
Gaia EDR3 3051580070606206080;3024;0,5729389;13,58595279;0,56329068;0,549596429
Gaia EDR3 305232742928041216;3025;0,8109741;14,21226158;0,607156433;0,495663285
Gaia EDR3 3052471327860668160;3026;0,9289551;14,31356818;0,478188064;0,572686672
Gaia EDR3 3052844272764398208;3027;0,63682365;13,72141372;0,546195522;0,58634913
Gaia EDR3 3053142790169071616;3028;0,7191982;14,29358177;0,752738931;0,498507291
Gaia EDR3 3053693022717775616;3029;0,5086403;13,68731892;0,67838767;0,625965118
Gaia EDR3 3053727764709092992;3030;0,12769699;12,1823899;0,592614467;0,829592466
Gaia EDR3 3054384241873425280;3031;0,3712654;12,84476488;0,52730522;0,689722836
Gaia EDR3 3055174889519233408;3032;0,8938389;13,9124471;0,390664629;0,696010828
Gaia EDR3 3056752280679961216;3033;0,29724503;12,81238078;0,60380501;0,603608429
Gaia EDR3 3057173050038260352;3034;0,27691078;12,66212585;0,57321639;0,770430326
Gaia EDR3 3057216064130157312;3035;0,7943287;14,43336429;0,644691294;0,518326759
Gaia EDR3 3059515898856688000;3036;0,9564457;14,67375398;0,574674114;0,902869523
Gaia EDR3 3060225878431751168;3037;9,94E-02;13,37991365;1,071958929;0,780376673
Gaia EDR3 3060268411487147648;3038;0,6920948;14,34225532;0,79947701;0,49234286
Gaia EDR3 3060388193831254784;3039;1,3039265;15,04194803;0,406241844;0,913840055
Gaia EDR3 3061553019027208064;3040;0,6895027;14,56308313;0,816901292;0,516303062
Gaia EDR3 3061567832367720064;3041;1,1155701;14,84005652;0,502729274;0,965850651
Gaia EDR3 306350606950880128;3042;-0,18521881;11,94637742;0,904441267;0,907014608
Gaia EDR3 3064151577318715904;3043;1,2865353;15,2413204;0,481322255;0,983248115
Gaia EDR3 3065135949463337984;3044;0,3878727;13,14119954;0,611512276;0,644539833
Gaia EDR3 3065272808597067520;3045;0,47229195;13,27461453;0,561243937;0,618896902
Gaia EDR3 3067262203092220160;3046;-0,21282673;10,89779044;0,547412339;0,916092575
Gaia EDR3 306779618349361920;3047;0,74456406;14,5951306;0,766951253;0,510178983
Gaia EDR3 3067956368587354368;3048;1,0226326;14,62301013;0,508511007;0,874896765
Gaia EDR3 306805388153226368;3049;0,44157028;13,87314313;0,835094003;0,58142817
Gaia EDR3 3068568006291108480;3050;0,65813065;14,08447357;0,661075864;0,555146992
Gaia EDR3 3068568010588919936;3051;0,46816826;13,37858553;0,604715226;0,572477758
Gaia EDR3 3070143267150880384;3052;3,56E-02;11,94265928;0,622325205;0,874623299
Gaia EDR3 307116824821161088;3053;-0,11933708;11,39418254;0,586142975;0,959353209
Gaia EDR3 307246738992334464;3054;0,90001106;14,28869555;0,492105785;0,82855773
Gaia EDR3 3073014263809462528;3055;0,213974;13,34984349;0,928214116;0,700164318
Gaia EDR3 3073747187092773632;3056;1,1500664;14,89364019;0,49153257;0,988310337
Gaia EDR3 3075067700558242176;3057;0,27062988;13,36815683;0,858230593;0,62948215
Gaia EDR3 3075976794811325952;3058;0,9078827;14,31043036;0,492183094;0,757228136
Gaia EDR3 3076010742232557952;3059;0,6321411;13,94599195;0,636067223;0,539479375
Gaia EDR3 3078733884642456064;3060;0,94503784;14,4733025;0,513922393;0,77653414
Gaia EDR3 3078890393250547840;3061;1,3415718;15,09686196;0,382977497;0,980511725
Gaia EDR3 3079468598933810176;3062;1,153719;14,85157536;0,476196531;0,937904477
Gaia EDR3 3079642326059886208;3063;0,62571526;13,57097442;0,511532089;0,673207343
Gaia EDR3 308012445761585024;3064;0,5090561;13,29361162;0,529997458;0,56978178
Gaia EDR3 3080205580955810432;3065;0,7504883;14,39739659;0,67982194;0,517553031
Gaia EDR3 3080726650687125632;3066;1,3095436;15,16856638;0,435229987;0,975438297
Gaia EDR3 3080726856841147264;3067;1,3730011;15,11236213;0,347514023;0,989445269
Gaia EDR3 3080914632816248448;3068;1,2872334;15,149567;0,453953929;0,989071727
Gaia EDR3 3082984910130769536;3069;0,5969696;13,6475121;0,560327055;0,552999556
Gaia EDR3 3083765357227100800;3070;0,1413517;11,66488915;0,435229982;0,866692126
Gaia EDR3 308383019835259008;3071;-0,21085167;12,90478498;1,189783763;0,885017872
Gaia EDR3 3083915298828722304;3072;0,81890297;14,06085621;0,491014669;0,533109963
Gaia EDR3 3084195266274202752;3073;0,16106415;12,15550864;0,542986122;0,886537671
Gaia EDR3 3086397068370475392;3074;0,1807518;12,23300425;0,545202364;0,833981276
Gaia EDR3 308651262017484544;3075;1,2083282;14,9217019;0,453170961;0,96986717
Gaia EDR3 3086834124243112832;3076;0,78561974;14,27925156;0,591313404;0,507451236
Gaia EDR3 3087094163041546240;3077;0,8754425;14,50072584;0,582570781;0,725747764
Gaia EDR3 3087965251128848384;3078;0,8113823;14,08412432;0,55022316;0,455205619
Gaia EDR3 3088006139216480000;3079;-0,1483593;11,37347457;0,619829114;0,942921162
Gaia EDR3 3088456384930582656;3080;0,50548744;14,40225152;0,959025319;0,522827327
Gaia EDR3 3089331767983800192;3081;1,1749535;14,89331441;0,471763217;0,959759712
Gaia EDR3 3091044532222339584;3082;0,45584297;13,99839236;0,86539219;0,580520511
Gaia EDR3 3091528115477228288;3083;-0,26578617;10,89702614;0,630742423;0,932880759
Gaia EDR3 3093722358432322176;3084;0,6101799;13,8183564;0,659344873;0,478822082
Gaia EDR3 3094852140989111680;3085;1,0767708;15,03082408;0,607951545;0,919563174
Gaia EDR3 3095326687633750016;3086;0,8453846;14,26703051;0,526953861;0,593821764
Gaia EDR3 3097756127294671488;3087;1,0151978;14,52520526;0,484904938;0,912100911
Gaia EDR3 3101855995698149632;3088;1,0916557;14,8742302;0,531643233;0,939636111
Gaia EDR3 3103451288288194816;3089;-0,3009777;10,60177424;0,58421682;0,940744877
Gaia EDR3 3103811515783541504;3090;1,4889164;15,47172318;0;0,994389415
Gaia EDR3 3103908646470614144;3091;0,8426285;14,6296129;0,67137477;0,57352674
Gaia EDR3 310420410587121920;3092;1,0797081;14,79115007;0,515430335;0,981576681
Gaia EDR3 31047184711544832;3093;0,61611557;13,9075033;0,639451982;0,544577599
Gaia EDR3 31047257726638592;3094;-0,28718567;10,6537804;0,579375179;0,909909427
Gaia EDR3 3104762279808982528;3095;0,17134666;13,33569912;0,979026086;0,697893322
Gaia EDR3 3105242908127079680;3096;0,27866554;12,77340973;0,61400786;0,597224712
Gaia EDR3 3105516269907089408;3097;0,92450523;14,70901399;0,61800701;0,888055921
Gaia EDR3 3105701503264273024;3098;0,6696911;13,92145453;0,642661968;0,480712801
Gaia EDR3 3106050911737526912;3099;-0,45094395;10,05716234;0,708397994;0,821861088
Gaia EDR3 3106791669037719296;3100;0,43378258;13,43265681;0,669198939;0,534234345
Gaia EDR3 3108175717964993280;3101;-9,92E-02;11,38894326;0,560636607;0,91400516
Gaia EDR3 3108589752806346112;3102;4,83E-02;11,96147158;0,613121337;0,873624802
Gaia EDR3 3112162508466471808;3103;1,1505795;15,00195666;0,523199384;0,95617485
Gaia EDR3 3112786176370258688;3104;-1,91E-02;11,79818436;0,631386431;0,955215216
Gaia EDR3 3113745152369921536;3105;0,44960403;13,83102925;0,80842804;0,57777369
Gaia EDR3 3113786590215971712;3106;0,68418884;14,12730099;0,719804949;0,491800785
Gaia EDR3 3114950049613545216;3107;0,15437222;12,20027554;0,565341358;0,89643681
Gaia EDR3 3117320802840630400;3108;0,60641;13,56109321;0,52354895;0,541771293
Gaia EDR3 3117533141727595392;3109;0,7662983;14,71876379;0,792497551;0,514665842
Gaia EDR3 3117902680711791744;3110;0,9627495;14,68910755;0,575479812;0,902645111
Gaia EDR3 3118002225171588224;3111;0,23306274;12,79916246;0,688904803;0,533707023
Gaia EDR3 311899773416896000;3112;0,9484482;14,45402704;0,506291437;0,833664298
Gaia EDR3 3119203643485532416;3113;0,4733162;13,31654651;0,574008573;0,529526949
Gaia EDR3 3121043332596905344;3114;0,6712265;14,25095356;0,712630999;0,527005613
Gaia EDR3 3121223102749655808;3115;0,41212082;13,74210562;0,81972221;0,515209198
Gaia EDR3 3121385658671190784;3116;-0,18362427;13,28027301;1,233655933;0,881949306
Gaia EDR3 3122380407457501824;3117;0,39871407;13,06289668;0,568449092;0,60962534
Gaia EDR3 3124006761248364544;3118;-9,42E-02;11,30379409;0,527729534;0,904566944
Gaia EDR3 312589747027492736;3119;1,1208515;14,83399101;0,496830314;0,933712006
Gaia EDR3 3126316040609035008;3120;0,61296654;13,43774664;0,486827777;0,605400324
Gaia EDR3 3126453655659835136;3121;0,5013218;14,29787085;0,925866574;0,70569998
Gaia EDR3 3127156174867632640;3122;0,55599785;13,85585208;0,735206592;0,480671763
Gaia EDR3 3127372057105895296;3123;1,3100433;14,97194744;0,375413948;0,967923224
Gaia EDR3 3127932155201827072;3124;0,97180176;13,62295315;0,262020216;0,910717547
Gaia EDR3 3130018336777730432;3125;0,70664215;14,70907757;0,927608576;0,488907427
Gaia EDR3 3131186327364237568;3126;0,44641113;13,54255892;0,722203857;0,488484204
Gaia EDR3 3131460243199483136;3127;3,58E-02;11,83059043;0,575998204;0,856176138
Gaia EDR3 31315774786501120;3128;0,73633766;14,0447459;0,626327788;0,492558479
Gaia EDR3 313302818972980736;3129;0,42292213;13,70470705;0,791284263;0,6063447
Gaia EDR3 3135302937555720192;3130;-0,32183933;10,47089719;0,577435781;0,901847124
Gaia EDR3 3135394712419214080;3131;0,72037125;14,00658912;0,626401423;0,462033391
Gaia EDR3 3137015220758936704;3132;0,22390366;12,62745614;0,634107312;0,745854259
Gaia EDR3 3139385763529290368;3133;1,1109486;14,82814691;0,502834569;0,930511355
Gaia EDR3 3139633462883694976;3134;-2,73E-02;12,50774942;0,935120663;0,849118471
Gaia EDR3 313967881773971840;3135;0,74323654;14,29043796;0,725992861;0,497267753
Gaia EDR3 3139699128636949248;3136;0,8659897;14,1664892;0,483951893;0,571377635
Gaia EDR3 313996228559363840;3137;0,82870483;14,06259176;0,483862826;0,544711769
Gaia EDR3 3141309668358730752;3138;0,48712158;13,77443654;0,739547354;0,59197104
Gaia EDR3 3141847883598342784;3139;0,2514305;12,94533583;0,720180741;0,608973622
Gaia EDR3 3142073489640247680;3140;-6,95E-02;11,60763351;0,6108044;0,936976552
Gaia EDR3 3142633171122444416;3141;0,5285759;13,91151104;0,744611697;0,543454826
Gaia EDR3 3143418840898448640;3142;0,6127758;13,46435505;0,493828251;0,534027874
Gaia EDR3 3144837112115126400;3143;1,2336988;15,04951206;0,470569818;0,992533505
Gaia EDR3 3144837318276010624;3144;1,4003468;15,29254691;0,342325315;0,994702756
Gaia EDR3 3145370645837100160;3145;0,9450226;14,46179546;0,510631871;0,647010803
Gaia EDR3 3145766676180517760;3146;0,49248886;13,18759791;0,515778641;0,561617672
Gaia EDR3 3145802036649641472;3147;0,97190857;14,67592821;0,563572146;0,911765933
Gaia EDR3 3146188235810977920;3148;0,11466789;12,37206167;0,688153586;0,830357611
Gaia EDR3 314637484355364224;3149;1,0013924;14,40322274;0,45800539;0,890770316
Gaia EDR3 3146523896095375744;3150;0,6949539;14,01440597;0,589746282;0,543794453
Gaia EDR3 3148085511845416960;3151;0,85064507;13,28591425;0,265717091;0,521616518
Gaia EDR3 3148462541253976960;3152;1,2842216;15,38123349;0,524238352;0,995137334
Gaia EDR3 3148464602838383360;3153;0,9084263;14,47322853;0,540618082;0,633992076
Gaia EDR3 3148732406937031936;3154;1,080265;14,69076639;0,485572398;0,951602101
Gaia EDR3 3149272537726191872;3155;0,3525772;13,61207914;0,844281589;0,674971104
Gaia EDR3 314956480167069696;3156;0,52051735;14,10298146;0,831066423;0,621710539
Gaia EDR3 3150770626615542784;3157;-9,59E-04;11,62358789;0,544869086;0,905123353
Gaia EDR3 3150999325035676288;3158;1,0508003;14,61087561;0,483954213;0,981775045
Gaia EDR3 3151407827963355136;3159;0,37981033;14,41897448;1,077513261;0,694980741
Gaia EDR3 3152802902063152896;3160;0,53370285;13,65385796;0,670988163;0,480208814
Gaia EDR3 3153319809965626240;3161;0,3497753;12,9790411;0,597731665;0,725500882
Gaia EDR3 3153815346114878592;3162;-8,16E-03;11,86056515;0,643919699;0,91592586
Gaia EDR3 3156013544735267840;3163;1,279213;15,28053222;0,499597961;0,982979774
Gaia EDR3 3156502479513105408;3164;0,33008194;12,93133898;0,605429621;0,561620414
Gaia EDR3 315687277442204672;3165;0,41152954;13,04129213;0,548006751;0,603650331
Gaia EDR3 3156974449176326528;3166;1,2116756;14,86545846;0,435229987;0,978358984
Gaia EDR3 315800325276303872;3167;-0,16340065;11,13528155;0,554969828;0,943813324
Gaia EDR3 3159503699580678400;3168;0,97628784;14,61137221;0,536352647;0,759753287
Gaia EDR3 3159753258655842432;3169;0,36898422;12,77024811;0,51095658;0,758953929
Gaia EDR3 3160815489969826944;3170;1,1184216;14,72890153;0,467885801;0,957505941
Gaia EDR3 3162660092524379392;3171;0,37589073;13,3108917;0,694313687;0,500512838
Gaia EDR3 316274416650957952;3172;1,3210316;15,24208445;0,435229986;0,960672081
Gaia EDR3 3164518640833807872;3173;0,6989765;14,16531603;0,645511705;0,554064929
Gaia EDR3 3165237137324411264;3174;0,5946808;13,93547597;0,676043496;0,515280962
Gaia EDR3 3165528615280166144;3175;-0,134161;11,31153748;0,574294525;0,937859774
Gaia EDR3 3165713981772896000;3176;0,9145298;14,57522043;0,571852949;0,604015768
Gaia EDR3 3166841329084630784;3177;0,845335;14,23600386;0,518492498;0,635067463
Gaia EDR3 316773766729205632;3178;0,72229767;14,48929295;0,749459705;0,515588105
Gaia EDR3 3169486960220617088;3179;2,13E-02;12,23176967;0,760584623;0,942251205
Gaia EDR3 3169614331770315392;3180;3,06E-02;11,80280647;0,57239056;0,862236857
Gaia EDR3 3170947523978412928;3181;0,26659775;13,24129089;0,815498926;0,775834024
Gaia EDR3 3171373722173234048;3182;-6,42E-02;11,5984464;0,600858986;0,948947012
Gaia EDR3 3171573077374529408;3183;0,26371765;12,57084143;0,55843427;0,708132565
Gaia EDR3 317317170285551104;3184;0,9571209;14,30011534;0,456578512;0,702201843
Gaia EDR3 3173236054352419072;3185;0,7593956;14,01972988;0,525623778;0,574274004
Gaia EDR3 3174573640310760448;3186;0,388134;13,50405917;0,755133427;0,576297581
Gaia EDR3 3175012418464287232;3187;1,1822796;14,95964709;0,485711848;0,988603711
Gaia EDR3 3175193288128400896;3188;0,60674286;13,94312266;0,664868912;0,593813658
Gaia EDR3 3175416381613488768;3189;0,2841854;12,67711137;0,569948216;0,611541629
Gaia EDR3 3175748124887027328;3190;0,73314667;14,06510782;0,638696035;0,498646259
Gaia EDR3 3175757814333320320;3191;0,3836975;12,92385659;0,539197382;0,660347641
Gaia EDR3 3176715871214721408;3192;1,0181274;14,74866267;0,554262521;0,905441523
Gaia EDR3 3177531704546560512;3193;0,887352;14,71704143;0,660872041;0,735486031
Gaia EDR3 3177914510686683776;3194;1,2989635;14,89535704;0,361163915;0,959792733
Gaia EDR3 3178998560433751552;3195;-0,13492584;11,37635751;0,601108757;0,956689596
Gaia EDR3 3179499250541535744;3196;-0,23075485;10,98384905;0,601834266;0,93222338
Gaia EDR3 3179926303432432896;3197;1,1575909;14,8203198;0,46385996;0,955693245
Gaia EDR3 318066311366852736;3198;0,53198624;13,48756798;0,571088946;0,6223737
Gaia EDR3 3181351206078888832;3199;0,8504734;14,18150812;0,499757994;0,58649534
Gaia EDR3 3181498265759130496;3200;0,31645203;12,7264662;0,54917255;0,635689735
Gaia EDR3 3181589319065856384;3201;4,62E-03;12,53288729;0,904572954;0,927363396
Gaia EDR3 3182583449377109632;3202;0,33954048;13,01050681;0,623899453;0,707128227
Gaia EDR3 3183069708393525248;3203;-0,24578667;10,92445756;0,606017292;0,927309155
Gaia EDR3 3183179552181105152;3204;0,13923073;12,06340879;0,537843632;0,863219082
Gaia EDR3 3183409968586482304;3205;0,42900085;13,69214667;0,778686599;0,59607631
Gaia EDR3 3183866678229288320;3206;0,91205597;14,25888472;0,474326345;0,662422478
Gaia EDR3 3183932855084713984;3207;1,0929127;14,91152108;0,544263462;0,97569865
Gaia EDR3 318528007466920192;3208;0,73114204;14,02648419;0,555744999;0,586048365
Gaia EDR3 3185502476652620032;3209;0,78134346;14,06883832;0,521889158;0,519623697
Gaia EDR3 3185680219579172992;3210;1,2112942;15,05590842;0,490687405;0,976296306
Gaia EDR3 3186226681154400512;3211;0,9784107;14,54218431;0,513187766;0,924555302
Gaia EDR3 3186716371850274048;3212;1,3384018;15,2155129;0,426221755;0,974454999
Gaia EDR3 3187950092615927552;3213;0,628685;13,67701759;0,539252971;0,548435807
Gaia EDR3 3189047856193585792;3214;0,2268734;13,05808403;0,800262291;0,747627735
Gaia EDR3 3189621320226676736;3215;0,44082737;12,65336697;0,424683924;0,772439122
Gaia EDR3 3191269144559159936;3216;-0,32500267;11,10987363;0,816274941;0,909299791
Gaia EDR3 3191314048440629376;3217;1,2738457;15,06789425;0,435229986;0,975985467
Gaia EDR3 3191498014776578688;3218;0,67782784;13,93630577;0,578590913;0,542115271
Gaia EDR3 3191647754516408576;3219;0,5624485;13,85393428;0,727210205;0,486286461
Gaia EDR3 3191738120628213760;3220;0,75522614;14,49144882;0,712590387;0,535866141
Gaia EDR3 3193685596237439488;3221;1,0296688;14,79446381;0,560610047;0,950007319
Gaia EDR3 3194126908422793984;3222;0,5279312;13,67801211;0,651623143;0,53931278
Gaia EDR3 3195117435256996864;3223;1,0274105;14,29269182;0,406665539;0,851936638
Gaia EDR3 3195883481327214848;3224;0,25354576;12,46638794;0,536274163;0,831414878
Gaia EDR3 3195919254111315712;3225;-0,1910038;11,0440334;0,561829843;0,901839018
Gaia EDR3 3195946703245151616;3226;0,9709072;13,95835933;0,345580885;0,905077815
Gaia EDR3 3196090567469896448;3227;1,3150787;15,24294566;0,455267829;0,973288417
Gaia EDR3 3197019139399144320;3228;0,80952454;13,33698826;0,307291509;0,534091651
Gaia EDR3 3197508598168785408;3229;0,3021946;12,7329012;0,567548977;0,627654731
Gaia EDR3 3197947642609218048;3230;0,66714287;14,13591902;0,671156022;0,502327085
Gaia EDR3 3199430372695297792;3231;-0,13419056;11,50153086;0,650658294;0,960257411
Gaia EDR3 3201594074140023936;3232;0,35267067;12,83808678;0,545048963;0,789745688
Gaia EDR3 3202808828330265088;3233;-0,10695267;11,5224181;0,621993408;0,957638383
Gaia EDR3 3203410359973647360;3234;1,1344128;14,66342388;0,435229987;0,944016099
Gaia EDR3 3204003963111227776;3235;0,10839081;12,7438838;0,847109315;0,805548668
Gaia EDR3 3204325050568185344;3236;1,1859207;15,10595458;0,526445212;0,96271044
Gaia EDR3 3204436719718449280;3237;0,79255104;14,29309463;0,667140824;0,494182289
Gaia EDR3 3204665315057342336;3238;0,7744961;14,30145928;0,693051738;0,495481879
Gaia EDR3 3205650069455382400;3239;0,151865;12,22195664;0,575283973;0,878565431
Gaia EDR3 320850687124903296;3240;0,6946697;13,93357787;0,56048349;0,533467412
Gaia EDR3 3208758831207224704;3241;0,6774025;13,76737899;0,522965564;0,533789396
Gaia EDR3 3209308900555979776;3242;-0,20526028;11,09448325;0,600798445;0,948744535
Gaia EDR3 3209958746287926528;3243;0,26982307;12,62670065;0,569636681;0,809662461
Gaia EDR3 3211272417868507264;3244;0,8935528;14,50159636;0,564999639;0,654831767
Gaia EDR3 3211353408067754368;3245;0,44031143;13,21636209;0,575135178;0,718829453
Gaia EDR3 3211549529158062720;3246;0,5085411;13,58216322;0,636366203;0,554290175
Gaia EDR3 3211784863301909504;3247;0,7298336;14,15610384;0,606004933;0,516491413
Gaia EDR3 3212159139636340608;3248;0,38186455;12,82298039;0,513303593;0,67013216
Gaia EDR3 3213304903767768832;3249;1,1853943;14,74171549;0,420502426;0,935292363
Gaia EDR3 3213524256337527040;3250;0,19926262;12,53396427;0,632073545;0,856875479
Gaia EDR3 3214675028399417856;3251;0,4145031;13,67344929;0,789366006;0,572914362
Gaia EDR3 3216177304885019008;3252;1,013731;14,50243902;0,479169776;0,909902096
Gaia EDR3 3216947242193857024;3253;-0,4029684;11,06334614;0,945588967;0,828422606
Gaia EDR3 3217172912659449600;3254;0,9994793;14,57955663;0,510906568;0,842330933
Gaia EDR3 3219198487955502720;3255;0,9505081;14,59039449;0,54865184;0,846472621
Gaia EDR3 3219963644972396288;3256;1,0507946;14,37034457;0,413758459;0,895645261
Gaia EDR3 3220964376644865024;3257;4,63E-02;10,96316636;0,345277888;0,932784915
Gaia EDR3 3220982720449432448;3258;0,9105301;14,57933156;0,577329849;0,79950887
Gaia EDR3 3221073189640737536;3259;1,5165615;15,2038133;0;0,999126077
Gaia EDR3 3221458469681100800;3260;1,2607479;14,87336811;0,393848206;0,946655273
Gaia EDR3 3221744063532438400;3261;1,0245705;14,9482231;0,629495072;0,898579597
Gaia EDR3 3222024473357675136;3262;0,51581;13,69487316;0,67283126;0,53207767
Gaia EDR3 3222969370457259648;3263;0,22725677;12,92816392;0,748291879;0,800359845
Gaia EDR3 3224908977688888064;3264;3,58E-02;11,9013603;0,605035152;0,936731935
Gaia EDR3 3225459317616903168;3265;1,3654919;15,26239199;0,401335486;0,989196181
Gaia EDR3 322577813733826176;3266;1,0445194;14,67500511;0,507490615;0,92978549
Gaia EDR3 3226053805515578496;3267;0,8863144;14,22328087;0,484243883;0,620663166
Gaia EDR3 3226519762223501696;3268;-0,31302643;12,81439945;1,239615779;0,837994099
Gaia EDR3 3227446822324601472;3269;-0,2165308;10,91503854;0,557279457;0,95288825
Gaia EDR3 3228023859770327424;3270;7,55E-02;13,21899;1,055891193;0,947180212
Gaia EDR3 3228730738371591040;3271;0,58540154;13,82323299;0,688417668;0,469673216
Gaia EDR3 3228948132437015552;3272;0,88519096;14,24681591;0,491695112;0,639596999
Gaia EDR3 3229045645373457280;3273;1,1617699;14,94810678;0,498486509;0,935095072
Gaia EDR3 3229458030954057216;3274;1,2128868;14,79360555;0,412184912;0,950567544
