designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 1044109229717304064;75;0,3598938;12,96678586;0,579416664;0,661466241
Gaia EDR3 1044784918268692224;76;-0,24486542;11,10385748;0,671912448;0,947419763
Gaia EDR3 1046272278327439872;77;1,1441841;15,17980325;0,597172765;0,98552227
Gaia EDR3 104648944047154432;78;-0,20835686;10,26950225;0,412710886;0,924848795
Gaia EDR3 1047653608528684416;79;0,89998245;14,24467563;0,479713636;0,604821086
Gaia EDR3 1047912479093335040;80;1,0469856;14,70786264;0,515322903;0,974321246
Gaia EDR3 1048769578471443072;81;0,73330116;14,28688042;0,735408291;0,491563231
Gaia EDR3 1050402662475992320;82;1,3875465;15,33896317;0,364740169;0,987207711
Gaia EDR3 1050570750316642304;83;1,1342754;15,01185306;0,541538374;0,971593499
Gaia EDR3 1050825733935333376;84;0,5141392;13,30406024;0,528305348;0,551396728
Gaia EDR3 1050892563625773184;85;0,2273407;12,59456315;0,616183166;0,766105771
Gaia EDR3 1051676171819127040;86;0,7299595;14,01860956;0,621544793;0,474594265
Gaia EDR3 1051954485699665280;87;0,6105175;13,93558046;0,65738021;0,551152647
Gaia EDR3 105240786245136256;88;1,601223;15,44495005;0;0,98758781
Gaia EDR3 1052520154368111872;89;0,559474;13,58033003;0,57460051;0,752578795
Gaia EDR3 1053106739526215424;90;1,1774292;14,71623439;0,419146692;0,932138205
Gaia EDR3 1053211437944753024;91;-0,2656088;10,76824733;0,583078162;0,945662856
Gaia EDR3 1053321934567306752;92;0,60632706;13,95531915;0,670265439;0,528598309
Gaia EDR3 105430868613160832;93;1,2638149;15,13124791;0,470319949;0,986512065
Gaia EDR3 1055219863435386880;94;1,2450275;14,90873054;0,421388102;0,949148655
Gaia EDR3 1055273537642488576;95;-0,33648396;11,17982776;0,862756475;0,92726779
Gaia EDR3 1055313016981775488;96;1,031126;14,64684103;0,509189303;0,95685184
Gaia EDR3 1056520418188043264;97;0,94080925;14,56434566;0,546599007;0,809141457
Gaia EDR3 105670871385474560;98;7,22E-02;11,88794984;0,555774314;0,89530009
Gaia EDR3 1056998259069523584;99;0,5703659;13,29130978;0,481611466;0,556724072
Gaia EDR3 1057653804222121600;100;0,49277496;13,56723129;0,679387964;0,459071487
Gaia EDR3 1058284412796260480;101;0,5813236;13,96335569;0,703051025;0,761961937
Gaia EDR3 105869848630802432;102;0,4197178;13,47038563;0,701851884;0,609444141
Gaia EDR3 1059423708705441152;103;1,1842594;14,89323073;0,464310243;0,954255283
Gaia EDR3 1062257081450709632;104;5,92E-02;12,41235236;0,783356804;0,889420927
Gaia EDR3 106241174322991360;105;0,17757988;13,15740238;0,907391769;0,68544817
Gaia EDR3 1062419637373273728;106;0,7363777;14,07436955;0,566913929;0,512092769
Gaia EDR3 1064196589898916096;107;1,3125496;15,37686525;0,496491798;0,990206838
Gaia EDR3 1064966106303092864;108;0,92687607;14,3927848;0,502051192;0,803550839
Gaia EDR3 1064978578888570496;109;1,3663368;15,12552839;0,358307596;0,986316979
Gaia EDR3 1065549087983653248;110;1,3735008;15,10140565;0,344151612;0,993004024
Gaia EDR3 1066195291583130240;111;0,31180573;12,84033209;0,594565085;0,768854856
Gaia EDR3 1066726497434084864;112;0,8288326;14,51903736;0,640850366;0,704315543
Gaia EDR3 1067421801098857728;113;1,01758;14,74221629;0,552335302;0,870957494
Gaia EDR3 1068706339918614016;114;0,40052986;13,26910233;0,645997085;0,655227184
Gaia EDR3 106904970108616064;115;0,8874817;14,11794728;0,453835281;0,623324692
Gaia EDR3 1069735341067492224;116;0,57180405;13,67416187;0,597647244;0,56277132
Gaia EDR3 1070600145618332160;117;-0,1269989;11,34228342;0,575932839;0,947242975
Gaia EDR3 1071186318459220864;118;1,1629372;14,7181356;0,433180826;0,975458145
Gaia EDR3 1071510262072374400;119;0,83979416;14,38300312;0,572675132;0,590365946
Gaia EDR3 1072135162634499584;120;0,122161865;12,17063842;0,595683348;0,85245055
Gaia EDR3 1073988187620042112;121;-0,15808678;11,16377344;0,557102049;0,93918848
Gaia EDR3 1075122127704964864;122;1,006113;14,59713935;0,511886469;0,880570114
Gaia EDR3 1075215414395152640;123;-0,21665764;11,1542711;0,642649293;0,930461764
Gaia EDR3 1076941716370493696;124;1,2272291;15,38084703;0,58698464;0,99185729
Gaia EDR3 1077107326013713280;125;0,3816471;13,01886789;0,572170619;0,637861848
Gaia EDR3 1077590114697601024;126;0,44013023;13,59784703;0,752903203;0,451272845
Gaia EDR3 1078174028387141120;127;0,39014053;12,92679238;0,533321935;0,57430476
Gaia EDR3 1079787355542320256;128;-0,26002693;11,47263271;0,842035157;0,949361563
Gaia EDR3 1080678230543387648;129;1,1387768;15,06031265;0,555203463;0,987799942
Gaia EDR3 1081101959132720768;130;0,40763283;13,69139455;0,805154097;0,66717124
Gaia EDR3 1081504483467714176;131;0,10233307;12,05612871;0,577832388;0,914598942
Gaia EDR3 1081514379072280320;132;1,3404922;15,27487148;0,435229987;0,983105659
Gaia EDR3 1082086159477202176;133;1,3855705;15,05681647;0,319628459;0,976973295
Gaia EDR3 1082953944734686720;134;0,5242462;13,47385604;0,574324241;0,669806898
Gaia EDR3 1086343945241426176;135;1,0949097;14,06314359;0,289299531;0,949229419
Gaia EDR3 1086367795195787776;136;0,31285477;12,73570762;0,556251562;0,659809232
Gaia EDR3 1087317562789799680;137;0,63168335;14,17228857;0,727501891;0,500894785
Gaia EDR3 1087402465701252608;138;1,0861092;14,88232498;0,539854903;0,965476573
Gaia EDR3 1087845637607089536;139;0,6577587;13,97611639;0,618098348;0,514024734
Gaia EDR3 1088322451991772288;140;0,7466526;12,99182294;0,269753908;0,563767493
Gaia EDR3 1089400763661597440;141;1,0407381;14,49832945;0,458287922;0,975426078
Gaia EDR3 1090281266317635584;142;-4,59E-02;11,54162434;0,559619683;0,957495034
Gaia EDR3 1090742064769027072;143;-0,20386982;10,92607194;0,543373536;0,948719323
Gaia EDR3 1091005054206114304;144;1,2304363;14,99400918;0,456743171;0,963837147
Gaia EDR3 1091532957227703424;145;1,2807884;15,15444664;0,46138005;0,973138988
Gaia EDR3 1091658198472977920;146;-9,69E-02;11,27799495;0,523911002;0,96002686
Gaia EDR3 1092212244957254656;147;0,67310333;14,22533572;0,70011955;0,570591927
Gaia EDR3 109247788869176448;148;0,7276249;13,8748628;0,512133087;0,516241193
Gaia EDR3 1092515229130044544;149;0,6430683;14,19190288;0,72191284;0,514817894
Gaia EDR3 1095351526750484864;150;0,48372078;13,5896359;0,669739758;0,587729156
Gaia EDR3 1096117955074105088;151;0,89424706;14,58179225;0,596262752;0,854786277
Gaia EDR3 1097100089538914816;152;0,9299946;14,41574176;0,506685228;0,904872537
Gaia EDR3 1097175444739973248;153;1,0015945;14,79677;0,586749632;0,887432098
Gaia EDR3 1098637172434762112;154;1,2562923;15,26214429;0,515187643;0,972887874
Gaia EDR3 1099254857452068864;155;1,0519257;14,75069575;0,524240938;0,916403115
Gaia EDR3 1099325161772414208;156;-0,18804646;11,08844476;0,571198004;0,948039532
Gaia EDR3 1099671469279607168;157;0,58311653;13,47156849;0,518119217;0,57776624
Gaia EDR3 1100089318058003328;158;0,585371;13,75689395;0,614989865;0,529461861
Gaia EDR3 1100267237077449728;159;0,7341175;14,04522744;0,559185933;0,586979151
Gaia EDR3 1100331141895920640;160;0,23825264;13,11888216;0,80802616;0,759043574
Gaia EDR3 1101763324511186304;161;0,4370613;13,08680242;0,536123853;0,630842388
Gaia EDR3 110181373025187328;162;5,93E-02;11,86993651;0,563991015;0,880680501
Gaia EDR3 1102382143399269632;163;0,982254;14,42268415;0,476021503;0,902743578
Gaia EDR3 1102843766484141696;164;1,3547459;15,17050544;0,387682227;0,987811387
Gaia EDR3 1106198926215614592;165;1,3330669;15,04651712;0,376431215;0,981981158
Gaia EDR3 1106815275503972352;166;1,2547398;15,08574172;0,464333494;0,987202644
Gaia EDR3 1107525796233028224;167;0,83769417;14,18066636;0,509058255;0,554914713
Gaia EDR3 1107991031389336832;168;0,71141815;14,17711341;0,635783772;0,535332978
Gaia EDR3 1108008241319231616;169;0,7648773;14,29987503;0,623363121;0,536111295
Gaia EDR3 1108133482565575808;170;1,251133;14,964659;0,4351011;0,978448153
Gaia EDR3 1108318685852985344;171;0,62387276;14,10950531;0,711520039;0,534469604
Gaia EDR3 110835311863083520;172;0,22842407;13,22631058;0,862757707;0,820689499
Gaia EDR3 1108654139977900800;173;0,7466965;14,00716765;0,533455179;0,614035189
Gaia EDR3 1109924900541714304;174;1,0181084;14,38807907;0,435229986;0,861097157
Gaia EDR3 1110464588950126720;175;0,5772171;13,45129527;0,517375476;0,605534136
Gaia EDR3 1111382608148401792;176;0,9958954;14,67697809;0,545298843;0,925715506
Gaia EDR3 1111549188454173696;177;0,42307281;13,04171225;0,5360449;0,588644266
Gaia EDR3 1112346261367281792;178;1,2857494;15,18860333;0,466703287;0,981276512
Gaia EDR3 1112440205190702336;179;1,4043446;15,24501313;0,321027327;0,997797966
Gaia EDR3 1112751431402295680;180;1,1523857;14,77828856;0,455540097;0,971915841
Gaia EDR3 1113063830143379968;181;0,7625885;14,50884635;0,792211354;0,496912926
Gaia EDR3 1114054838014073984;182;0,631485;14,47642188;0,848775505;0,595954239
