  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  
   79994.292188771011        1.1716460000000000        3.2868471082656470E-004   7.5676136999999999        2.0046600000000001E-002   7.7582991266382084        7.5663006846110843        8.1268348992081076        6.9522221357273271        7.4933018261733313        8.0542964271030915        8.4548348992081035        8.8171034872942418        7.5683012553922087        8.0605667275325974        8.4668347448376107        8.7648331868647364        8.9838321996729835     
   79850.382345425707        1.1673469999999999        3.2868471082656470E-004   7.5687838000000003        2.0019599999999999E-002   7.7631345144912789        7.5711752832793220        8.1315501290021626        6.9571603965637347        7.4982052068102387        8.0590638221723250        8.4595501290021655        8.8217762623974618        7.5731902450447759        8.0653348408639918        8.4715460124938300        8.7695052437057921        8.9884794366832086     
   79701.042121665334        1.1628700000000001        3.2868471082656470E-004   7.5700089000000004        1.9991399999999999E-002   7.7681753841061472        7.5762566995847642        8.1364663932156489        6.9623075600268827        7.5033164911604331        8.0640342770518636        8.4644663932156483        8.8266483695672662        7.5782865953725960        8.0703059407669784        8.4764580213307639        8.7743767058521485        8.9933252861613653     
   79544.654530714281        1.1581859999999999        3.2868471082656470E-004   7.5712834000000004        1.9962100000000000E-002   7.7734333484914515        7.5815569687029480        8.1415938047690979        6.9676766581552307        7.5086480377968066        8.0692186591861024        8.4695938047690937        8.8317293512990211        7.5836025032498746        8.0754908093568112        8.4815808213398078        8.7794572011283094        8.9983791154637451     
   79374.865062721932        1.1531070000000001        3.4274493216616974E-004   7.5726483000000000        1.9930699999999999E-002   7.7791023465636364        7.5872717210486371        8.1471209115200871        6.9734662632148172        7.5143967480360949        8.0748079450911874        8.4751209115200901        8.8372057982427208        7.5893342345423669        8.0810803722950020        8.4871027455239023        8.7849333710389068        9.0038265100476345     
   79169.335546091272        1.1470819999999999        3.4274493216616974E-004   7.5741684999999999        1.9895900000000001E-002   7.7856246520500036        7.5938492077315587        8.1534704020414850        6.9801362667492839        7.5210153406223412        8.0812339634776720        8.4814704020414879        8.8434932330506939        7.5959322741769455        8.0875059938230507        8.4934457583868692        8.7912212027053158        9.0100797134691533     
   78925.074407418841        1.1399720000000000        3.4274493216616974E-004   7.5759122000000003        1.9855999999999999E-002   7.7932260270939722        7.6015158647851173        8.1608658916606522        6.9879135849540397        7.5287308499036349        8.0887212042843082        8.4888658916606481        8.8508144227962475        7.6036233573443788        8.0949922130976795        8.5008332516740204        8.7985434139828733        9.0173610688509847     
   78634.114399754704        1.1315660000000001        3.5680516894535686E-004   7.5779019999999999        1.9810500000000002E-002   7.8020708977641000        7.6104381013561593        8.1694648167238775        6.9969686386282959        7.5377112784762126        8.0974305170519898        8.4974648167238804        8.8593240969557918        7.6125746899161832        8.1036995629639783        8.5094222546358687        8.8070550510438075        9.0258244360117708     
   78326.189677968301        1.1225950000000000        3.7086542116048806E-004   7.5800584999999998        1.9761399999999998E-002   7.8115446031607920        7.6199931451599330        8.1786786418709614        7.0066628942556850        7.5473279072243376        8.1067612990972417        8.5066786418709643        8.8684431316768855        7.6221605261921344        8.1130279319997758        8.5186250407734949        8.8161764987743521        9.0348953378074146     
   77964.877346610563        1.1120500000000000        3.7086542116048806E-004   7.5825706999999998        1.9704300000000001E-002   7.8226195685847699        7.6311628887799579        8.1894485237967203        7.0179956145711593        7.5585699133106345        8.1176692238589077        8.5174485237967197        8.8791010531998715        7.6333664010452971        8.1239322900580753        8.5293813071958873        8.8268379870007045        9.0454981790708544     
