  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  
   79774.850685902988      -0.20613500000000001        3.0340175294122675E-004   9.3178710000000002        4.1260999999999997E-003   11.091052316142690        10.896097346005511        11.467911114110596        10.275487517106200        10.822391344936921        11.389984771348463        11.795905001666956        12.163339518735544        10.900097346005513        11.395984771348463        11.807623227622823        12.110323116247773        12.333317003804137     
   78777.827525831992      -0.22843700000000000        3.2581156129040778E-004   9.3183252999999997        4.1238999999999998E-003   11.102858291701402        10.908102726196237        11.479091586096523        10.288020515753701        10.834498244643655        11.401491639959151        11.807058183976142        12.174389364328729        10.912102726196235        11.407491639959151        11.818729469769483        12.121300549201688        12.344267147081307     
   77801.326194863403      -0.25051400000000001        3.5124117361689855E-004   9.3187320000000007        4.1219999999999998E-003   11.114289828882162        10.919729563643193        11.489910176899892        10.300164276244951        10.846224359023706        11.412630226740623        11.817849729200701        12.185080005820188        10.923729563643191        11.418630226740623        11.829475829218572        12.131920586138866        12.354860138439674     
   76865.242205616814      -0.27199800000000002        3.8012286427195364E-004   9.3191878999999993        4.1197999999999999E-003   11.125444353374265        10.931071304933143        11.500476743774117        10.312002190353853        10.857661532312578        11.423503926035950        11.828389988850594        12.195523009871154        10.935071304933141        11.429503926035951        11.839973271318195        12.142296289015240        12.365209534091720     
   75951.088084710602      -0.29319099999999998        4.1375167845853866E-004   9.3195984999999997        4.1178999999999999E-003   11.136209085589890        10.942018867972948        11.510667019162341        10.323434437208967        10.868702153164477        11.433994412015302        11.838554299883967        12.205592620692439        10.946018867972946        11.439994412015302        11.850096453249186        12.152300448779286        12.375187729500908     
   75077.534116199982      -0.31375100000000000        4.5277694494288311E-004   9.3200622000000006        4.1156999999999999E-003   11.146694780068112        10.952679273244870        11.520603349022133        10.334558706502465        10.879451768633247        11.444218040302969        11.848465397506432        12.215412653318056        10.956679273244868        11.450218040302969        11.859968805149448        12.162058358245373        12.384920406729671     
   74244.621918522302      -0.33354699999999998        4.9817243865473413E-004   9.3204758000000005        4.1136999999999996E-003   11.156643272786608        10.962794348402904        11.530027799987883        10.345116186593481        10.889651789411049        11.453916659362163        11.857865554038044        12.224726209829894        10.966794348402905        11.459916659362163        11.869332604929573        12.171312917971589        12.394150672021750     
   73449.357306930178      -0.35272799999999999        5.5263930808990835E-004   9.3209497999999993        4.1114999999999997E-003   11.166291315779542        10.972601444318155        11.539175023448124        10.355346471580269        10.899540307787461        11.463326122971623        11.866989116732544        12.233766454063236        10.976601444318156        11.469326122971623        11.878422066694391        12.180297296509508        12.403111389793928     
   72711.817436881800      -0.37067699999999998        6.1596928277498362E-004   9.3213688000000001        4.1095000000000003E-003   11.175219459522914        10.981677096035536        11.547638490447561        10.364814722054582        10.908691389491850        11.472033004753978        11.875430430910072        12.242130662253764        10.985677096035538        11.478033004753978        11.886832256528731        12.188609903534939        12.411401843997453     
   72028.604379014010      -0.38755400000000001        6.9194901739646748E-004   9.3218431000000006        4.1072000000000001E-003   11.183721866517558        10.990316145641749        11.555709953235869        10.373818291761339        10.917400657603849        11.480330447831257        11.883480877326772        12.250108992964677        10.994316145641754        11.486330447831257        11.894854517182864        12.196540929311670        12.419311853402576     
   71409.336854268229      -0.40297100000000002        7.8059316443483337E-004   9.3222605999999999        4.1053000000000001E-003   11.191332049568667        10.998050182197813        11.562929345091904        10.381882862760003        10.925198290912386        11.487754850624947        11.890681038502580        12.257243887388009        11.002050182197815        11.493754850624947        11.902029542966654        12.203633127662760        12.426384821073436     
   70876.620241774843      -0.41642800000000002        8.8051416667065036E-004   9.3227089999999997        4.1031000000000001E-003   11.198173049495022        11.004997725446668        11.569433680912550        10.389115592053319        10.932200899422490        11.494436035567556        11.897168340185015        12.263674330209195        11.008997725446669        11.500436035567557        11.908495847664266        12.210027332960909        12.432761992233370     
   70419.348048844637      -0.42804199999999998        9.8935073317196038E-004   9.3230801000000003        4.1013999999999998E-003   11.203946723919360        11.010862854309588        11.574918270747604        10.395225562686230        10.938113239904704        11.500072528334011        11.902638208746540        12.269095502751428        11.014862854309593        11.506072528334011        11.913947947153547        12.215417499557374        12.438137437556309     
   70037.397518634505      -0.43788199999999999        1.1058195056388059E-003   9.3234739999999992        4.0994999999999998E-003   11.209018996898436        11.016011517394709        11.579748638507727        10.400579511537273        10.943301673642843        11.505030216154026        11.907455841605838        12.273871789357706        11.020011517394707        11.511030216154026        11.918751279161476        12.220168326011454        12.442875529109571     
   69699.714633312891      -0.44660499999999997        1.2318823171042369E-003   9.3238012999999995        4.0980000000000001E-003   11.214571631575202        11.021661717185209        11.585015034125357        10.406501220458731        10.948956922385209        11.510499275125541        11.912668636432189        12.278997005002358        11.025592795531699        11.516490410545368        11.923985005588685        12.225343402695524        12.447966976465688     
   69409.992903507286      -0.45420300000000002        1.3662576840653173E-003   9.3241613999999995        4.0962999999999998E-003   11.219674973127784        11.026851975256733        11.589864823441854        10.411934774434840        10.954148620856731        11.515532975600664        11.917467678723469        12.283714887695439        11.030716471536518        11.521515473299750        11.928805822732201        12.230112032413821        12.452655886985788     
   69142.646729992557      -0.46120699999999998        1.5114555925897263E-003   9.3244617000000005        4.0949000000000003E-003   11.224297375971831        11.031554581952831        11.594253447221616        10.416861694161630        10.958852428752833        11.520091241976415        11.921809665760412        12.287982302172201        11.035357575306039        11.526065705983624        11.933167711894617        12.234426083633410        12.456896566845201     
   68904.883059301268      -0.46753099999999997        1.6659810513608875E-003   9.3248007000000008        4.0933000000000002E-003   11.228593233819339        11.035921768901545        11.598341191978207        10.421429034259603        10.963220971701546        11.524330231148124        11.925855731995565        12.291961557518853        11.039669979307909        11.530297464942628        11.937231680284135        12.238447017501496        12.460852045824787     
   68675.526876642427      -0.47360400000000002        1.8327872343390083E-003   9.3250846000000003        4.0918999999999999E-003   11.232664183352622        11.040061525289627        11.602211598155467        10.425761559602183        10.967361863689629        11.528346399443354        11.929686144144668        12.295727904421533        11.043756851651086        11.534306620429486        11.941079150843134        12.242253358432333        12.464595457109198     
   68463.957571679392      -0.47929400000000000        2.0100576272623415E-003   9.3254117999999995        4.0904000000000001E-003   11.236527214164841        11.043988026893334        11.605889463069108        10.429866489525750        10.971289674093338        11.532159070015862        11.933326941673204        12.299309168834466        11.047634484117914        11.538112735726106        11.944735858826277        12.245871690230373        12.468155564591637     
   68251.154175014875      -0.48497699999999999        2.2013008851434679E-003   9.3256873999999996        4.0891000000000000E-003   11.240305467264838        11.047830121012334        11.609481702659748        10.433887643109719        10.975132870612333        11.535886705992139        11.936882130132149        12.302804923422050        11.051427405609941        11.541833759754740        11.948306818077247        12.249404495949653        12.471630038839555     
   68047.786065556778      -0.49048300000000000        2.4045972158339736E-003   9.3260094999999996        4.0876000000000003E-003   11.244050518408836        11.051636182589169        11.613048842589857        10.437865384458741        10.978940220589168        11.539583563672542        11.940413716524985        12.306279331066674        11.055186385080260        11.545524208950523        11.951853621196411        12.252914457131544        12.475084109673231     
   67837.057234290958      -0.49614500000000000        2.6241255649546245E-003   9.3262826000000008        4.0863000000000002E-003   11.247799842618527        11.055448725448240        11.616614061688512        10.441855338419931        10.982753855848237        11.543282955707067        11.943942340694502        12.309749195023915        11.058950138935970        11.549216957747941        11.955397767411942        12.256420916017930        12.478532900747343     
   67630.406841355143      -0.50176399999999999        2.8576474915219590E-003   9.3266039000000003        4.0848000000000004E-003   11.251594105342020        11.059304983289612        11.620227663930185        10.445886097047476        10.986611398889613        11.547028443456318        11.947519937729401        12.313268836612755        11.062758456626936        11.552955835425374        11.958990704614321        12.259976562813540        12.482031877296892     
