 #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  
   79818.396713162190        1.3432120000000001        1.6995744604173524E-004   7.3697528999999999        2.4532200000000001E-002   7.3260812985397692        7.1341357795258205        7.6939083942610331        6.5222961796185075        7.0611721001831889        7.6219810355757680        8.0219083942610290        8.3838539132749794        7.1356329514545038        7.6279904968963486        8.0339083942610294        8.3318539132749798        8.5503060655381979     
   79406.672958513169        1.3299820000000000        1.8401663310578441E-004   7.3740008000000001        2.4412500000000000E-002   7.3423377013418900        7.1505156994543349        7.7097738035115277        6.5389095927722529        7.0776343648626359        7.6380111343281207        8.0377738035115236        8.3995958053990805        7.1520710353584853        7.6440410378211467        8.0497738035115241        8.3475958053990773        8.5660030466838073     
   78994.162674439329        1.3166860000000000        1.9807583560577769E-004   7.3782477999999996        2.4293400000000000E-002   7.3585969938798428        7.1668987450775106        7.7256427551239462        6.5555252502357391        7.0940999125426245        7.6540450900541721        8.0536427551239456        8.4153410039262795        7.1685123200100662        7.6600940752170601        8.0656427551239460        8.3633410039262799        8.5817018128240576     
   78581.804963516697        1.3033450000000000        1.9807583560577769E-004   7.3824972999999998        2.4174899999999999E-002   7.3748458458676005        7.1832713043785468        7.7415028136364015        6.5721288996988001        7.1105549433858428        7.6700700916509916        8.0695028136364009        8.4310773551254563        7.1849431130821948        7.6761367483493572        8.0815028136364013        8.3790773551254567        8.5973903620165260     
   78169.619863264699        1.2899600000000000        2.1213505354353401E-004   7.3867456999999996        2.4056899999999999E-002   7.3910927873548466        7.1996419013958679        7.7573625258633392        6.5887290832463563        7.1270079774232151        7.6860946779180317        8.0853625258633386        8.4468134118223155        7.2013719222095425        7.6921775972864772        8.0973625258633355        8.3948134118223159        8.6130772379634202     
   77756.373998498253        1.2765040000000001        2.2619428691541543E-004   7.3909929999999999        2.3939599999999998E-002   7.4073365582495256        7.2160096460499759        7.7732194664723551        6.6053257060266937        7.1434583712502757        7.7021169168729529        8.1012194664723545        8.4625463786719024        7.2177979806501256        7.7082147452487746        8.1132194664723549        8.4105463786719028        8.6287594538474224     
   77342.819491352435        1.2629930000000000        2.2619428691541543E-004   7.3952426000000004        2.3822699999999999E-002   7.4235936170657268        7.2323907712183235        7.7890908108793795        6.6219344824520796        7.1599222073200544        7.7181536830828392        8.1170908108793824        8.4782936567267875        7.2342374596691883        7.7242650268114055        8.1290908108793829        8.4262936567267843        8.6444545347536241     
   76929.515983316829        1.2494320000000001        2.4025353572505991E-004   7.3994932000000002        2.3706399999999999E-002   7.4398379156263310        7.2487590608313326        7.8049510382021268        6.6385288474505337        7.1763731576346714        7.7341792318088025        8.1329510382021297        8.4940298929971263        7.2506640820330048        7.7403026736179896        8.1449510382021302        8.4420298929971231        8.6601372108029757     
   76515.425906587072        1.2358089999999999        2.5431279997246747E-004   7.4037423000000002        2.3590699999999999E-002   7.4560835122802622        7.2651288845082860        7.8208132287611036        6.6551238573994169        7.1928257993269682        7.7502070583984732        8.1488132287611066        8.5097678565330810        7.2670923111176293        7.7563412252335553        8.1608132287611070        8.4577678565330814        8.6758200777494849     
   76101.111511439318        1.2221249999999999        2.6837207965400010E-004   7.4079940999999998        2.3475599999999999E-002   7.4723222573501431        7.2814919238967128        7.8366697694126870        6.6717107924876053        7.2092717015944245        7.7662293248081085        8.1646697694126829        8.5255001028661184        7.2835137891455695        7.7723728131058643        8.1766697694126833        8.4735001028661188        8.6914957898661598     
   75686.426376958872        1.2083850000000000        2.6837207965400010E-004   7.4122427000000002        2.3361000000000000E-002   7.4885652772943878        7.2978593493812980        7.8525316420038429        6.6883009709849262        7.2257220641059057        7.7822570714530599        8.1805316420038459        8.5412375699169338        7.2999396775436018        7.7884084904828619        8.1925316420038463        8.4892375699169342        8.7071752450221283     
   75271.401090248124        1.1945809999999999        2.8243137477329582E-004   7.4164944999999998        2.3246900000000001E-002   7.5048118304516223        7.3142304101245514        7.8683981458263439        6.7048935590769041        7.2421761299065004        7.7982895853902434        8.1963981458263433        8.5569795661534158        7.3163692480155262        7.8044475309967467        8.2083981458263438        8.5049795661534162        8.7228577699779706     
   74855.376659688554        1.1807030000000001        2.9649068533035459E-004   7.4207425000000002        2.3133500000000001E-002   7.5210521806653894        7.3305955676674834        7.8842589196653527        6.7214795016654278        7.2586244923355459        7.8143167690014756        8.2122589196653522        8.5727155326632563        7.3327930000015122        7.8204798689952320        8.2242589196653491        8.5207155326632567        8.7385326779889532     
   74438.566308489491        1.1667490000000000        3.1055001132153847E-004   7.4249958999999999        2.3020499999999999E-002   7.5373110005769384        7.3469794306843959        7.9001388581230856        6.7380831758307984        7.2750917174226970        7.8303634315996895        8.2281388581230850        8.5884704280156328        7.3492355576535466        7.8365302837311823        8.2401388581230854        8.5364704280156296        8.7542249770088283     
   74020.667988042784        1.1527250000000000        3.2460935275048541E-004   7.4292433999999998        2.2908200000000000E-002   7.5535642138997936        7.3633580135033796        7.9160135842076578        6.7546808963919318        7.2915538799057700        7.8464053170124402        8.2440135842076572        8.6042197846040693        7.3656729203045757        7.8525745478938163        8.2560135842076576        8.5522197846040697        8.7699101226830543     
